"country","year","life_expectancy_at_birth_SEX_MLE","life_expectancy_at_birth_SEX_BTSX","life_expectancy_at_birth_SEX_FMLE","bcg_immunization_coverage","dtp_immunization_coverage","hepb3_immunization_coverage","hib3_immunization_coverage","hpv_immunization_coverage","mcv1_immunization_coverage","mcv2_immunization_coverage","pab_immunization_coverage","pcv3_immunization_coverage","pol3_immunization_coverage","rotac_immunization_coverage","che_%_of_gdp","ext_%_of_che","gghe-d_%_of_che","oop_%_of_che","pvt-d_%_of_che","alc_consump_per_capita_liters_SEX_MLE","alc_consump_per_capita_liters_SEX_FMLE","alc_consump_per_capita_liters_SEX_BTSX","alc_expenditure_%_of_household","preterm_birth_rate_per_100","low_birth_weight_prevalence","pregnant_women_anaemia_prevalence_SEX_FMLE","pregnant_women_anaemia_prevalence_SEVERITY_MODERATE","pregnant_women_anaemia_prevalence_SEVERITY_MILD","pregnant_women_anaemia_prevalence_SEVERITY_TOTAL","pregnant_women_anaemia_prevalence_SEVERITY_SEVERE","pregnant_women_mean_hemoglobin","children_anaemia_prevalence_SEX_BTSX","children_anaemia_prevalence_SEVERITY_MILD","children_anaemia_prevalence_SEVERITY_MODERATE","children_anaemia_prevalence_SEVERITY_TOTAL","children_anaemia_prevalence_SEVERITY_SEVERE","children_mean_hemoglobin","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","underweight_adults_prevalence_SEX_FMLE","underweight_adults_prevalence_SEX_BTSX","underweight_adults_prevalence_SEX_MLE","overweight_adults_prevalence_SEX_BTSX","overweight_adults_prevalence_SEX_MLE","overweight_adults_prevalence_SEX_FMLE","obese_adults_prevalence_SEX_BTSX","obese_adults_prevalence_SEX_MLE","obese_adults_prevalence_SEX_FMLE"
"SSD",2020,56.61555,58.94518,61.2504,69,67,67,67,NA,69,NA,65,NA,65,NA,9.45,44.32,7.7,39.66,47.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66772,6.88828,8.40557,5.32815,5.44497,10.30934,8.06452,5.75395,5.06145,14.88196,14.94478,10.76721,8.12128,12.30287,12.2333,13.575,13.88189,11.48379,6.07717,4.81349,7.09738,5.02984,4.674,4.83061,4.84727,3.40036,4.02799,18.85393,17.03667,15.08034,21.91615,15.25959,28.09956,7.36337,4.09431,10.40006
"BTN",2005,68.65292,69.36895,70.18354,92,95,95,NA,NA,93,NA,85,NA,95,NA,4.13,19.02,63.91,16.79,17.07,3.20348,0.66943,2.04339,NA,NA,12,45.1,20.2,23.1,45.1,1.8,111,61.4,24.8,33.3,61.4,3.3,104,7.80103,11.26395,14.83177,7.48478,13.65618,15.37011,11.47015,7.34006,10.81351,7.15739,9.0042,7.12533,7.11066,7.80965,7.50816,7.32768,8.53451,8.03029,2.7649,1.99621,2.70459,2.82882,1.61519,2.07184,2.14324,1.88617,1.75456,9.20611,9.82749,10.34409,23.8298,20.4712,27.86962,4.14397,3.08181,5.42157
"BGR",2020,69.90852,73.48961,77.35673,97,91,91,91,3,88,84,NA,85,91,45,8.48,2.03,59.84,36.58,38.13,19.03421,4.77067,11.62101,NA,7.97278,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18889,3.50836,3.84322,3.15212,2.80167,4.36328,3.76822,3.13362,2.98976,35.99052,21.26931,32.46684,30.7074,28.45003,29.95723,33.0599,24.17673,26.14009,15.30866,9.58654,17.46598,13.0247,7.85725,11.58133,13.45638,11.4543,9.71361,3.78846,2.48399,1.06554,58.37252,64.93718,52.33533,23.45558,25.23057,21.8232
"VCT",2009,71.56013,73.5624,75.76799,80,99,99,99,NA,99,94,NA,NA,99,NA,4.09,2.08,61.09,33.37,36.84,10.47595,2.6713,6.67432,NA,NA,NA,23,8.9,13.5,23,0.6,120,24.4,15.5,8.5,24.4,0.4,118,3.07031,3.46294,3.88216,3.02579,3.52802,4.04327,3.53592,3.00535,3.30324,27.46663,29.84299,25.35722,24.39755,26.78949,24.88546,26.19902,28.28304,27.05934,14.06318,14.11661,14.66373,13.44086,14.42687,12.99658,11.92251,10.67539,12.50915,4.61285,4.51752,4.42703,52.94734,41.9897,64.49016,24.32655,12.99964,36.25836
"ZAF",2000,54.15479,57.11948,59.62253,89,73,73,73,NA,72,62,68,NA,71,NA,7.34,0.64,36.59,14.46,62.76,15.76148,3.18321,8.96411,NA,NA,17.2,34,14.8,18,34,1.2,116,41.3,19,20.3,41.3,2,112,10.87661,12.04575,13.89898,10.16985,11.07628,15.32112,12.58043,9.81846,10.97749,8.43343,12.91245,7.14803,6.50041,9.16608,7.78223,8.11125,11.20883,9.69403,2.36102,2.96159,2.35506,2.36711,3.25715,2.49328,2.03064,1.86719,2.55948,4.78482,7.31497,10.36676,44.68992,29.49707,57.28592,20.73797,9.13629,30.35663
"TKM",2001,62.18631,65.94847,69.71733,99,95,NA,NA,NA,98,94,NA,NA,94,NA,4.82,0.07,34.58,61.27,65.35,4.61925,0.77217,2.63152,NA,NA,5.8,32.6,13.4,18.2,32.6,1,116,39.3,20.6,17.8,39.3,0.9,113,5.07413,4.75825,4.88325,4.63118,3.99426,5.36032,4.88217,4.40254,4.52286,12.56132,12.94419,13.59074,14.14317,13.20239,12.54292,12.55231,12.80758,13.5446,3.10051,1.82681,3.64213,2.53567,1.46092,2.26578,2.69756,2.19067,1.82636,7.07768,5.06351,2.89689,38.23663,43.22131,33.60272,10.21736,7.89956,12.37205
"TTO",2016,70.74168,73.83468,76.91267,NA,97,97,97,6,86,65,NA,91,84,NA,6.51,0.07,50.12,43.12,49.81,9.96732,2.45572,6.12428,NA,NA,16.2,19.2,6.7,12.2,19.2,0.3,121,23.6,15.9,7.4,23.6,0.3,119,8.23014,9.52196,10.68411,8.31833,10.34025,10.86712,9.63731,8.36511,9.30485,31.84467,29.76469,34.34188,35.67092,31.09556,23.90385,27.94823,27.73341,32.76784,15.1417,12.26277,18.78295,11.36217,12.74046,15.54084,18.70596,18.66498,15.75291,6.88721,6.07398,5.21849,58.0042,53.53008,62.25729,26.7669,20.80539,32.4339
"LBN",2020,74.88486,77.70116,80.39053,NA,71,71,71,NA,74,64,NA,74,67,NA,7.58,10.19,44.43,30.31,45.38,2.28219,0.34437,1.26323,NA,8.74408,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92146,2.25128,2.61945,1.85677,2.41189,2.73052,2.29444,1.82079,2.17211,39.57415,33.89022,44.00557,46.37708,40.20121,40.14282,39.85218,36.12459,40.3915,19.17348,13.93199,21.49648,16.74516,12.36771,17.48313,20.79709,20.4228,16.56159,3.04734,2.37596,1.61925,65.28985,70.513,60.65572,29.91751,28.1518,31.48409
"CHN",2013,73.03748,75.84031,79.07028,99,99,99,NA,NA,99,99,NA,NA,99,NA,4.71,0.06,57.05,38.16,42.89,11.29911,2.93166,7.16365,NA,6.11612,5.1,19.1,7.1,11.7,19.1,0.3,123,18.2,13.2,4.8,18.2,0.2,121,4.34557,4.70246,4.81944,4.5666,3.40439,5.51986,5.12757,4.67431,3.83739,27.34819,13.63992,23.40262,21.44962,19.45418,17.38963,22.7667,14.86848,17.82635,9.73595,3.93577,12.99901,5.90626,2.97555,6.93384,9.51527,7.79088,5.55683,7.14573,5.94234,4.75854,29.95661,31.93281,27.94769,4.87965,4.64026,5.123
"HND",2005,69.70544,70.54437,71.5141,98,98,97,97,NA,96,NA,90,NA,98,NA,7.5,8.48,38.93,49.06,52.59,5.4449,1.32745,3.39414,NA,NA,11.8,23.6,8.3,15.1,23.6,0.2,119,35.8,22.3,13,35.8,0.5,114,1.76286,2.31274,2.90991,1.69054,2.45221,3.17668,2.4277,1.64857,2.11508,25.9273,23.47429,23.28194,21.74017,22.9032,20.84434,23.44151,22.50857,22.59012,8.5491,6.19851,10.25136,6.77058,5.86655,7.23279,8.22546,7.04472,6.46726,4.09558,3.58098,3.06836,46.31802,44.21744,48.42669,16.02808,12.69144,19.37757
"MDG",2018,62.72056,63.71423,64.72205,77,74,74,74,NA,68,NA,78,73,71,70,4.23,29.83,35.56,29.28,34.61,1.69038,0.35493,1.02054,NA,NA,18.9,39.3,16.9,21.1,39.3,1.3,114,49.5,24.8,23.3,49.5,1.4,109,5.27263,7.50247,9.07056,5.9044,5.855,10.96707,8.64005,6.2745,5.5672,11.99063,3.66191,8.28285,6.09603,6.0103,3.74967,7.91795,3.69433,4.88896,2.6554,0.55531,4.40827,0.86139,0.37601,1.62717,2.67892,1.65896,1.02275,20.1485,17.84613,15.52292,13.47875,12.99204,13.96108,2.94408,2.92115,2.9668
"MRT",2003,65.10215,64.83743,64.7406,96,76,NA,NA,NA,84,NA,58,NA,75,NA,4.03,9.28,19.14,68.39,71.58,0,0,0,NA,NA,NA,53.8,26.5,24.1,53.8,3.2,108,73,23,44,73,6,99,7.22475,12.22298,17.07158,7.27657,13.4145,19.37158,13.3919,7.30893,10.35755,9.40487,14.58012,7.56654,6.41037,10.54347,11.97918,10.67625,13.58046,10.46027,3.67116,4.35894,2.85635,4.50619,4.26702,3.14009,1.94533,1.37237,2.8073,9.35345,12.31584,15.38421,28.64239,15.33045,41.4945,9.75857,3.39657,15.90081
"MWI",2020,60.67492,63.46288,66.28594,87,94,94,94,74,90,75,90,93,93,91,7.01,55.48,22.29,15.8,22.23,6.1489,1.30928,3.61146,NA,14.51122,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71468,3.18648,3.97613,2.40717,1.79582,5.24742,4.01321,2.80348,1.75523,9.56941,10.71806,6.46498,4.65485,8.07096,7.79987,8.68404,9.65588,7.71683,2.44643,1.66241,3.43757,1.45665,1.78016,1.75851,1.8559,0.93367,1.36115,6.10356,7.92291,9.94804,20.11325,11.8251,27.55918,5.70413,2.07346,8.96587
"ZAF",2002,52.13723,54.31988,56.05058,84,70,72,70,NA,65,46,62,NA,70,NA,6.68,0.64,34.53,13.56,64.83,15.42986,3.11407,8.79277,NA,NA,17.2,33.3,14.3,17.9,33.3,1.1,117,40.7,19.3,19.6,40.7,1.8,112,9.43962,10.2959,11.90023,8.67003,9.23888,13.13881,10.7396,8.31504,9.33828,10.74917,15.64934,9.13823,8.38851,11.44752,9.75207,10.25546,13.7878,11.99985,3.25297,3.9672,3.29686,3.20821,4.3173,3.3975,2.83535,2.62056,3.46447,4.58087,7.06293,10.01836,46.03637,30.86777,58.77542,21.89527,10.07299,31.82398
"PRY",2011,72.30768,74.9301,77.6732,94,92,91,91,NA,91,78,85,NA,89,85,5.82,0.81,42.28,50.01,56.92,9.86099,2.69099,6.27285,NA,7.60172,10,25.9,10.1,15.1,25.9,0.6,118,30.8,19.3,11,30.8,0.4,116,1.49927,2.28213,3.07751,1.45225,2.87082,3.17914,2.32204,1.42925,2.20074,33.57059,26.42918,26.48843,23.00621,27.31085,31.72489,32.66886,28.16892,24.68278,13.53881,7.41738,16.174,10.78017,5.77215,9.16908,10.84798,8.22924,7.02576,3.35778,3.07477,2.79006,57.01268,55.08004,58.93374,22.32696,19.69724,24.94091
"VNM",2011,68.24805,72.6127,77.08742,98,95,95,95,NA,96,93,87,NA,96,NA,4.97,2.19,38.85,34.69,58.96,12.75385,3.16094,7.8074,NA,8.61919,7.8,28.8,11,17.3,28.8,0.5,117,21.4,14.3,6.5,21.4,0.6,119,13.62055,15.05418,16.89301,13.12279,12.46605,19.00792,16.0086,12.89312,13.0223,15.49196,3.81241,9.46414,6.58446,7.41726,8.42067,12.08489,5.26737,5.22476,4.8474,1.21067,6.84689,2.697,0.52486,2.33,3.39569,1.74694,1.14751,21.75072,20.71432,19.60324,8.70017,8.40013,8.98005,0.7421,0.65209,0.82605
"EGY",2009,67.11573,69.78932,72.57015,98,97,97,NA,NA,95,96,85,NA,97,NA,4.38,1.61,35.05,60.44,63.34,0.36609,0.05119,0.20965,NA,NA,NA,28.8,10.6,17.8,28.8,0.4,116,38.4,24.2,14,38.4,0.2,113,3.10782,2.95324,3.56122,2.31061,3.62574,3.5268,2.72805,1.88041,3.37299,41.93976,41.44245,35.67739,32.3363,38.63553,42.35496,42.14237,41.76228,36.75416,20.96413,17.1676,20.69053,21.2512,14.96394,15.35096,13.63228,9.86658,12.33957,0.96509,1.57233,2.17474,66.48234,57.78554,75.24877,32.71698,22.35365,43.16329
"NPL",2006,67.19056,68.54568,69.89553,93,89,69,NA,NA,85,NA,86,NA,91,NA,3.54,26.37,23.9,42.5,49.73,0.51073,0.09769,0.29944,NA,NA,21.9,47.3,20.6,25.1,47.3,1.6,110,51.7,26.1,24.7,51.7,0.9,109,9.42334,16.16676,22.94037,9.27436,20.59465,24.23993,16.74448,9.19415,15.10913,5.31793,4.27409,5.70213,5.91499,5.09673,4.86449,5.09527,4.48072,5.09753,1.78077,1.46536,1.21992,2.3621,0.98254,1.14604,0.83223,0.61745,0.79933,22.54188,20.26353,17.87185,13.64363,15.45898,11.9143,1.88571,1.63042,2.1289
"GNB",2011,53.73023,55.96327,58.104,92,86,89,89,NA,83,NA,80,NA,85,NA,6.22,52.93,7.03,35.82,40.04,6.71863,1.34959,3.92611,NA,NA,22,54.4,26.5,24.9,54.4,3.1,107,72.6,24.7,42.9,72.6,5,100,4.34769,7.94492,11.53969,4.3054,8.86275,13.23384,8.7768,4.27887,6.62498,10.55205,9.25356,8.1728,6.66705,8.49316,8.12271,9.34802,8.81751,7.9544,3.07872,2.07603,3.46167,2.68901,1.69133,2.19985,2.32214,1.60096,1.64594,10.13814,10.74122,11.40209,22.76035,18.18079,26.93943,6.43341,4.17069,8.49825
"SGP",2018,81.40217,83.50812,85.62352,99,97,97,97,28,97,91,NA,84,97,NA,4.08,0,50.01,29.07,49.99,2.85048,0.79639,1.87287,NA,8.38755,10.8,17.4,5.4,11.7,17.4,0.3,120,13.2,10.9,2.2,13.2,0,122,2.73784,3.07595,3.31466,2.81775,2.67875,3.57427,3.22874,2.85144,2.70747,42.08393,25.09245,38.87963,37.57147,32.59741,27.48461,34.98772,25.80192,31.60629,16.26926,8.11177,22.27048,9.92392,7.34773,13.44257,18.37072,16.77864,12.2705,8.65802,6.6062,4.74038,39.11037,43.90379,33.83908,11.13614,12.00039,10.18572
"LUX",2006,77.3735,79.91413,82.28953,NA,99,95,98,NA,95,NA,NA,NA,99,NA,6.64,NA,83.78,13.37,16.2,19.59454,5.93443,12.64366,NA,NA,7.1,13.5,4,9.2,13.5,0.3,122,9.3,7.6,1.7,9.3,0.1,123,1.25281,1.55834,1.64776,1.46469,1.31478,1.81992,1.69974,1.57398,1.28454,21.26256,18.01019,20.49787,20.10251,19.50077,19.32205,20.31545,18.45659,19.08005,5.85506,4.70917,6.52025,5.15738,4.47799,5.36761,5.99636,5.7255,5.11587,3.02995,1.88631,0.69728,54.8534,63.34435,46.68662,19.42247,20.6155,18.27499
"CHL",2014,77.33763,79.93658,82.47818,98,95,95,95,NA,97,88,NA,92,95,NA,7.84,0,47.74,34.27,52.26,12.4967,3.70624,8.03619,NA,7.96463,6.3,19.3,6.9,12,19.3,0.4,121,19.3,14.1,5,19.3,0.2,120,0.58282,0.7815,1.01443,0.53856,0.84492,1.09296,0.81153,0.51807,0.71666,61.0911,46.78409,50.84758,46.10178,49.33089,49.83335,55.58195,47.74905,46.4358,31.2928,18.44738,38.89206,23.36324,16.1715,22.68601,26.75007,21.12471,18.6999,1.18679,0.83673,0.47455,72.27667,72.33663,72.21872,31.77414,26.3184,37.04745
"AFG",2001,53.28464,53.91019,54.57006,43,33,NA,NA,NA,37,NA,47,NA,35,NA,NA,NA,NA,NA,NA,0.00495,0.00065,0.00277,NA,NA,NA,43.9,20.3,21.7,43.9,2,112,49.8,20.7,25.5,49.8,3.6,108,8.04968,15.52761,21.64237,9.15009,20.02909,22.80704,16.50526,9.94185,14.17118,6.02904,5.65172,6.57872,6.97554,5.95364,4.81522,5.43548,5.30169,6.32709,1.93082,1.45722,2.01984,1.83779,1.18339,1.65067,1.83615,1.70354,1.44875,20.01769,19.47273,18.90887,16.93609,17.677,16.22,4.00524,3.48498,4.50805
"DNK",2004,75.43158,77.68985,79.89374,NA,95,NA,95,NA,96,88,NA,NA,95,NA,9.01,0,83.55,14.87,16.45,18.08179,5.20097,11.52323,1.9,NA,5.3,17,5.6,11,17,0.4,120,12.8,10.3,2.5,12.8,0.1,122,1.06056,1.51407,1.25217,1.78966,0.74515,1.52517,1.84545,2.18256,0.89888,27.49614,19.61,26.95433,26.6626,23.85159,22.3992,25.01188,20.58672,23.22659,6.04628,4.32374,7.08631,4.95248,3.98492,5.90462,7.40699,7.57966,5.82831,3.18656,2.05909,0.88515,46.65484,55.65692,38.00905,12.75888,14.25553,11.32145
"KWT",2009,77.49169,79.20188,81.49603,99,99,99,99,NA,99,94,84,99,99,NA,2.71,0,81.58,16.72,18.42,0,0,0,NA,NA,11.8,22.2,8.1,13.8,22.2,0.4,120,17.5,12.4,4.9,17.5,0.2,121,3.05025,3.27938,3.92789,2.58969,3.28631,4.27899,3.33848,2.33612,3.17168,33.82205,45.06491,43.47382,48.75578,42.17595,33.04133,33.44294,40.79567,46.96909,16.34271,19.0739,17.15224,15.48513,21.04974,21.60134,23.97789,27.71325,24.48756,1.4489,1.53398,1.59209,74.7559,74.86005,74.60342,38.23344,35.28786,42.54643
"NLD",2015,79.66833,81.28069,82.81619,NA,95,94,96,61,95,92,NA,94,95,NA,10.32,0.02,66.05,11.29,33.92,14.67182,4.2488,9.3835,NA,7.03929,5.9,16.5,5.1,11.2,16.5,0.3,120,13.7,11.2,2.5,13.7,0,121,0.73659,1.47921,1.70767,1.24005,0.9914,2.03883,1.76207,1.47247,0.86698,20.52238,15.47666,18.10738,16.99086,17.15809,17.65383,19.12165,16.16432,16.25092,4.67404,3.44692,5.43568,3.87592,3.24887,4.08615,4.69676,4.35514,3.81454,2.08233,1.36608,0.62597,52.24566,58.16574,46.51639,16.12454,15.3672,16.85745
"LCA",2000,70.21449,73.21927,76.26622,91,70,NA,NA,NA,88,89,NA,NA,70,NA,4.87,0,34.41,58.86,65.59,16.51168,4.43976,10.34978,NA,NA,14.4,23.1,9.3,13.1,23.1,0.7,121,22.2,14.2,7.5,22.2,0.5,119,3.36536,4.27546,5.28692,3.253,4.56047,5.65659,4.42777,3.19743,3.97186,20.59258,23.34588,18.29933,17.13233,20.28643,20.17024,20.38457,22.29514,20.23719,10.41027,8.58696,11.26101,9.53367,8.11883,8.64583,8.70407,7.4029,7.76064,5.19812,6.20241,7.25494,44.38656,33.70354,54.58006,16.42754,7.99207,24.47647
"VEN",2012,70.17156,74.44482,78.95922,96,81,81,81,NA,87,33,50,NA,73,76,NA,NA,NA,NA,NA,11.73582,2.93466,7.26493,NA,8.27629,9,24.6,9.4,14.6,24.6,0.6,119,25.6,17.2,8.1,25.6,0.3,118,2.64389,2.20871,1.99031,2.43905,1.62926,2.17799,2.25328,2.33266,2.12293,35.84214,26.51752,31.94908,29.92541,28.79526,23.45009,29.81274,25.46895,28.26658,10.61009,8.8999,12.24082,8.88922,8.90545,9.93264,10.91182,10.22099,9.58063,3.9014,3.33224,2.74043,56.13607,57.11764,55.19205,22.42196,20.87579,23.90897
"KEN",2018,63.62994,66.06923,68.56652,93,91,91,91,NA,92,53,88,89,89,92,4.1,22.15,43.11,23.37,34.74,4.7836,1.00283,2.86537,NA,8.75733,10.2,40.3,18.7,19.6,40.3,2,113,42,22,18.6,42,1.4,111,4.80483,8.44111,11.11231,5.77414,6.05101,14.01252,10.15777,6.32377,5.42951,10.86744,13.08416,7.01598,4.80902,9.85965,12.01926,11.44188,12.69883,8.95776,3.6441,2.62389,4.00029,3.28608,2.24841,2.3748,2.12531,1.05091,1.65127,8.65774,11.94252,15.33246,28.16447,17.07733,38.90769,9.20955,4.05536,14.20386
"SYC",2016,69.98491,73.07492,76.59587,99,96,96,96,93,97,99,100,NA,96,NA,4.96,3.92,69.15,25.31,26.93,19.61666,5.04571,12.74664,NA,NA,12.4,27.2,11,15.5,27.2,0.7,118,29.1,19.2,9.6,29.1,0.3,116,6.14244,6.20436,6.76689,5.61341,6.58552,6.86989,6.11042,5.30251,6.36703,26.56744,30.70064,25.32628,24.62143,27.28427,27.02797,26.79453,29.34119,27.56709,13.48331,13.7645,13.93876,13.01514,14.20488,13.13879,12.54318,11.75065,12.93984,3.00229,4.23063,5.32547,58.84855,50.4827,68.2344,26.98737,17.7344,37.36849
"SWE",2015,79.96618,81.74239,83.49809,24,98,53,98,NA,98,95,NA,97,98,NA,10.8,NA,83.96,14.9,16.04,14.68035,4.25363,9.4453,NA,5.58912,4.2,17.3,5.4,11.6,17.3,0.3,120,13.2,10.9,2.2,13.2,0,122,0.90949,1.74004,2.21849,1.2288,1.47147,2.62613,2.03736,1.40532,1.19861,27.12793,19.73091,24.97136,23.79457,23.26707,24.54835,25.87547,21.44597,21.83474,8.56663,5.71931,10.00239,7.04529,4.98627,7.44099,9.05224,8.53376,6.82287,2.08512,1.35098,0.60772,53.36926,61.16989,45.66429,15.87697,16.50305,15.25856
"MLI",2021,61.08022,61.67399,62.28962,81,77,77,77,NA,72,33,87,77,69,70,4.47,29.67,29.33,34.09,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14274,10.02457,14.6706,5.26686,11.10426,16.94942,11.22146,5.34649,8.15521,19.41398,14.80836,15.76944,13.44065,15.386,15.28167,17.36981,14.99335,14.11584,6.96072,5.49326,6.66831,7.25941,4.36013,5.18371,4.88142,3.73963,4.04595,9.28458,9.34596,9.40638,29.72909,27.88129,31.60631,9.53207,8.19151,10.89398
"CAF",2018,49.38507,52.13734,55.28616,61,42,42,42,NA,41,NA,60,40,46,NA,11,51.38,6.26,41.67,42.36,3.20105,0.78987,1.98657,NA,NA,16.3,51.8,23.5,26.4,51.8,2,109,74.4,24.1,44.5,74.4,5.9,98,6.23285,8.10237,9.82066,6.3546,6.89328,11.63898,9.05563,6.43007,6.56608,16.14614,13.01479,13.26896,11.48183,12.57266,10.00852,13.10539,11.86441,12.2421,4.57599,3.53532,5.65123,3.48091,3.56905,3.91532,4.28891,3.44272,3.50537,19.899,21.38428,22.89984,18.61532,13.42479,23.70218,6.47109,4.02038,8.87286
"LBR",2017,61.93847,62.62959,63.3204,87,80,80,80,NA,75,NA,89,78,79,71,10.47,31.97,13.25,46.17,54.78,5.99456,1.44661,3.67593,NA,NA,19.8,49.9,21.9,26.5,49.9,1.6,110,72.7,26.9,42.2,72.7,3.6,100,2.4553,5.98765,9.41733,2.49144,7.25348,10.75063,6.66578,2.51354,4.883,12.58291,12.63935,9.58755,7.74189,10.95751,11.88753,12.23937,12.35404,10.17059,5.09104,2.66108,7.07498,3.0592,2.4176,4.04079,5.39426,4.35864,3.39606,6.10207,6.33801,6.585,31.89641,24.73804,38.73498,12.30939,8.68614,15.77078
"KOR",2003,73.97453,77.44357,80.73898,87,97,91,NA,NA,96,95,NA,NA,94,NA,4.28,0,55.72,38.81,44.28,15.47544,4.55164,9.96205,NA,NA,5.2,20.1,8.1,11,20.1,1.1,118,14.5,11.4,3,14.5,0.1,121,1.32454,1.75699,1.74614,1.76902,1.17552,2.04033,2.02017,1.99784,1.24617,28.78441,17.08818,27.35284,26.61476,23.16619,21.32194,25.24631,18.52703,22.0945,9.45825,3.57976,13.38293,5.10511,2.79449,7.44748,10.93794,9.67737,6.41152,5.78573,4.09455,2.36023,28.81084,32.11643,25.58747,2.70461,2.272,3.12645
"SAU",2020,74.90266,76.05845,77.92078,95,95,95,95,NA,96,96,NA,95,95,96,6.65,0,78.29,10.08,21.71,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.91018,9.46251,8.12586,10.86057,9.79625,7.1869,7.60512,8.04148,12.77787,34.98276,39.69646,43.01784,47.53448,39.04486,26.27882,30.73805,34.88936,43.69865,13.09395,13.77239,16.07655,9.96061,15.90044,17.05599,20.19537,22.51061,19.27568,5.10285,3.99643,3.29025,71.86375,72.35187,71.09898,39.46707,37.3051,42.85439
"PHL",2015,65.80854,69.51616,73.67785,85,74,74,74,23,80,57,90,20,79,2,3.9,1.44,37.67,51.18,60.89,9.41755,2.26841,5.85233,0.5,7.71327,21.1,29.9,12.7,16,29.9,1.3,115,15.3,8.6,5.7,15.3,1,120,7.46596,10.16553,11.86935,8.35421,8.44604,13.73999,11.35392,8.83176,7.97357,11.26846,9.20538,10.38606,9.90388,9.77967,9.00417,10.17689,9.13503,9.56431,4.49676,2.58118,5.56995,3.34379,2.17117,3.36935,4.11074,3.31337,2.75811,12.31847,11.41401,10.51061,28.91358,26.0722,31.75828,6.42128,5.05771,7.78645
"COM",2000,61.18227,62.03734,62.95127,90,70,NA,NA,NA,70,NA,57,NA,70,NA,7.52,5.89,11.87,79.78,82.24,0.28417,0.03674,0.15673,NA,NA,25.5,42.7,20.2,20.3,42.7,2.2,112,61.3,23.1,33.9,61.3,4.2,104,3.68311,8.05527,11.92666,4.13203,8.26436,14.26559,9.31536,4.40339,6.0278,5.31917,11.11279,3.53272,2.3918,6.90982,9.04075,7.13605,10.33215,6.76921,1.90341,1.829,1.50193,2.32431,1.52959,1.3376,0.8527,0.43807,0.98595,8.62494,9.98888,11.42742,21.85634,15.83375,27.56662,5.04824,2.23715,7.71355
"IRN",2017,76.0724,77.47897,79.0905,99,99,99,99,NA,99,98,95,NA,99,NA,7.83,0.02,46.05,40.2,53.93,1.72858,0.20305,0.9731,NA,7.47339,NA,23.7,8.1,15.3,23.7,0.2,118,26.5,18.5,7.9,26.5,0.1,117,10.64092,9.54525,10.19877,8.8647,10.78508,9.85406,8.86011,7.82775,10.71462,27.71827,25.11679,27.34331,27.12286,25.76011,22.38933,25.11372,24.11144,26.13884,11.78309,8.17413,13.98612,9.47871,7.41253,10.05188,11.85506,10.60214,9.03756,4.35747,4.37343,4.3891,57.69602,52.94088,62.53676,22.21595,16.05659,28.48621
