Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Poland,1439.03829,1452.0542,1467.36439,1516.54337,1578.62065,1610.99443,1544.71111,1593.49251,1604.70545,1585.87482,1672.14773,1660.8295,1734.56892,1850.41678,2037.3788,2141.1824,2288.0817,2973.76616,3056.76772,3136.39045,3238.20911,3534.49865,
Portugal,1631.09799,1714.34995,1824.57457,1935.65316,1971.93837,2009.38128,2340.40551,2669.41678,3820.71125,3762.94667,3918.48695,4164.08003,4028.40134,3603.15423,3656.64588,3724.79711,3995.62552,4355.7475,4627.17238,4879.31874,5163.35335,5473.44704,5742.97209
Puerto Rico,,,,,,,,,,,,,,263.80606,,333.80353,,,,,,,
Qatar,,,,,,,,,,,,,648.91753,,,647.31123,,,584.50501,,,982.50091,
Republic of Korea,2323.04006,2905.29328,3006.55838,3188.39871,3279.12821,3760.66844,4169.48243,4610.68107,4888.18296,5033.59493,5424.87184,5903.21462,6388.42516,6453.84737,6864.20599,7018.35865,7056.34297,7450.5576,7913.5015,8322.58762,8614.63518,9081.93585,
Republic of Moldova,,,,756.43007,755.38437,717.41311,698.34114,723.79793,820.94705,801.95946,760.16606,777.15332,768.63843,736.90187,925.31215,946.48296,912.00965,923.49386,903.41782,823.53362,774.67919,781.24167,768.02221
Romania,931.61311,902.35103,933.35446,971.83662,993.77824,1083.51295,905.93274,903.24228,938.46339,938.70625,969.45021,793.40389,893.05432,924.14366,903.98911,874.72788,908.9898,887.30938,875.76242,887.07363,940.54664,985.49335,
Russian Federation,3441.99557,3450.99823,3371.53128,3355.68208,3302.67413,3224.37173,3235.55068,3276.58124,3153.67736,3090.63227,3086.45471,3124.33388,3089.5581,3064.15555,3086.5907,3109.76327,2959.96583,2825.53951,2787.2464,2749.48531,2724.90717,2675.55474,2697.89248
Rwanda,,,,,,,,,10.7546,12.42899,,,,15.32402,,,13.72771,,,58.50478,,,
Saint Helena,330.033,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,435.44058,692.33959,834.80573
Senegal,,,,,,,270.89623,287.1585,386.38871,,378.55616,,,,,580.95491,,,,,,,
Serbia,,,,,,,,1190.39138,1354.72005,1423.86226,1503.41256,1616.19262,1635.37121,1718.61748,1822.70033,2060.14765,2121.8924,2067.73261,2075.98604,2087.27636,2149.85336,2206.70833,2349.67681
Seychelles,,,,,,152.46227,,,,,,,,,,,,,,,,,
Singapore,4142.76862,4090.70883,4365.92913,4763.93552,5026.15886,5543.75334,5691.89349,5967.41086,5859.24905,6197.84358,6284.90363,6444.84852,6401.90144,6631.40635,6632.22602,6977.66947,6897.04458,6777.63699,6786.69594,7275.63158,7224.74807,,
